,Customer Name,Review Title,Rating,Reviews
297,Aaryan,Worth every penny spent,5.0 out of 5 stars,  Awesome
298,Indumathisundar,Very addictive,5.0 out of 5 stars,  Very awesome game
299,Samit samanta,Goof,5.0 out of 5 stars,  Good
300,bharat reddy,Nice game,5.0 out of 5 stars,  Nice
301,Aaditya kartha,"Awesome,",5.0 out of 5 stars,"  Awesome,"
302,Pooja mohite,Try it,5.0 out of 5 stars,  Sony are the best
303,pranav singh,Middle east disc but works fine,5.0 out of 5 stars,  amazing game.The code works fine for me.
304,Sanjay Kumar Sinha,Best product,4.0 out of 5 stars,  Best product but little glitches in it
305,Tariq Khan,Best game i ve ever played,5.0 out of 5 stars,  Awesome game !!
306,Tilak,wow,5.0 out of 5 stars,  amazing
307,Amazon Customer,😀😀😃😃😄😄😄😁😁😁,5.0 out of 5 stars,  Worked like a charm
308,JASKARAN SINGH,MARVEL SPIDER MAN GAME OF YEAR EDITION,5.0 out of 5 stars,  It's amazing with main story and other 3 dlc's
309,Arpith Raj,Beautiful game,5.0 out of 5 stars,  Initial review: Superb.
310,Prince Smith,THE BEST VERSION OF THE BEST SUPERHERO GAME OF ALL TIME,5.0 out of 5 stars,"  The Game of the Year Edition of this game which is newly released is without a doubt the ideal version to buy right now. It contains the base game + all the DLC content at a reasonable price which is excellent. Buying the standard edition won't give you any extra content or additional storylines, it will just include the base game. So obviously there is no need to buy the old/standard edition of this game!Now, about the game...It's already the highest selling superhero game ever created, and I predict that it's about to become the highest selling PS4 exclusive game of all time (it's sitting just behind Uncharted 4). The gameplay is ridiculously awesome!What are you waiting for???"
311,CJ Brothers,Disappointed,5.0 out of 5 stars,  No doubt this is an awesome game. I've waited so long for the GOTY edition. I am disappointed because DLC is not on disc. There is DLC code voucher.
312,Sanket Bandyopadhyay,Awesome Action !! Full on Spidy Adventure,5.0 out of 5 stars,  The package came with a nice outer packaging.. it took less than 10 hours to deliver to my home !! Bought this for my ps5 after playing miles Morales ! At first i thought maybe I'll get a fake disk and I've to return it multiple times but turns out a fully packed genuine game as expected !! The dlc code is easy to redeem.. took less than 1 mins to redeem ! No scratches no dents.. If you're getting it at 40-50% off just get itPros:Epic visualsAwesome actionsNice storylineCon:Repetitive missionsgraphics look kinda meh after playing miles Moralesno adaptive trigger support
